Word,Frequency,Tag
cbd,124,city
pedestrian,108,transport
tram,82,transport
avon,79,city
cafe,72,retail
traffic,70,transport
christchurch,67,city
buse,66,transport
retail,65,retail
bike,61,transport
cathedral,61,religion
mall,54,retail
heritage,53,city
rebuild,52,city
lane,50,city
vibrant,47,city
outdoor,43,city
cyclist,40,transport
apartment,40,housing
hub,37,city
walkway,36,transport
density,33,city
shuttle,33,transport
solar,32,environment
precinct,31,city
suburb,24,city
boutique,23,retail
concrete,22,city
maori,21,people
european,19,people
bin,19,environment
recycle,19,environment
footpath,19,city
playground,19,recreation
underground,19,transport
kid,18,people
cycleway,18,transport
suburban,18,housing
storey,17,city
height,17,city
dedicate,17,city
victoria,17,city
courtyard,17,city
moorhouse,16,city
pollution,16,environment
streetscape,16,city
eco,15,environment
zone,15,city
skate,15,recreation
signage,15,city